"Bearbeitungsvermerke","یادداشت های مسئول پرونده"
"Ich bin **Berechtigte/Berechtigter** nach dem **Asylbewerberleistungsgesetz**.","من **مشمول** دریافت کمک طبق **قانون کمک های اجتماعی برای پناهندگان** هستم."
"Falls ja, legen Sie bitte entsprechende Nachweise (zum Beispiel Aufenthaltserlaubnis, Aufenthaltsgestattung, Duldung, Bescheid des Bundesamtes für Migration und Flüchtlinge (BAMF)) vor.","لطفا مدارک مورد نیاز (مقلا مدرک مربوط به اجازه اقامت، اقامت پناهجوئی، دولدونگ و یا تصمیم اداره مهاجرت و پناهندگی (BAMF)) را ارائه دهید."
"Dauer der Schulausbildung von - bis","زمان تحصیل من از این تاریخ تا این تاریخ است"
"Falls ja, legen Sie bitte entsprechende Nachweise (zum Beispiel Schulbescheinigung) vor.","اگر جوابتان مثبت است لطفا مدرک مربوطه را ارائه دهید (مثلا گواهی تحصیل از مدرسه)."
"Dauer des Studiums von - bis","مدت تحصیل دانشگاهی من از این تاریخ تا این تاریخ است."
"Falls ja, legen Sie bitte entsprechende Nachweise (zum Beispiel Immatrikulationsbescheinigung) vor.","اگر جوابتان مثبت است لطفا اوراق مربوطه را ارائه دهید (مثلا ورقه ثبت نام ترم دانشگاهی)."
"Dauer der Ausbildung von - bis","زمان این دوره از این تاریخ تا این تاریخ است."
"Falls ja, legen Sie bitte den Ausbildungsvertrag vor.","اگر جواب مثبت است لطفا قرار داد دوره کارآموزی را ارائه دهید."
"Ich befinde mich derzeit oder demnächst in einer **stationären Einrichtung** (zum Beispiel Krankenhaus, Altenheim, Justizvollzugsanstalt).","من در حال حاضر در **یک مرکز شبانه روزی** بسر می برم (مثلا در بیمارستان، خانه سالمندان و یا زندان)"
"Dauer der Unterbringung von - bis","دوره اسکان در اینجا از تاریخ تا"
"Art der stationären Einrichtung","نوع محل اسکان"
"Falls ja, legen Sie bitte eine gültige Bescheinigung über den Aufenthalt und die Dauer vor.","اکر به این سئوال پاسخ مثبت داده اید، لطفا مدرک معتبری در مورد این اقامت و زمان آن ارائه دهید."
"Prüfung eines Mehrbedarfs","نقد و بررسی نیاز ویژه"
"Die Angaben sind freiwillig und nur erforderlich, wenn Sie einen Mehrbedarf beantragen möchten.","این اطلاعات داوطلبانه است و زمانی که برای آنها درخواست نیاز ویژه (Mehrbedarf) می دهید باید حتما آنرا وارد کنید."
"Ich bin **alleinerziehend**.","من **فرزندم را به تنهائی بزرگ می کنم**."
"Ich bin **schwanger**.","من **حامله** هستم."
"Bitte legen Sie einen Nachweis vor, aus dem der voraussichtliche Entbindungstermin hervorgeht.","لطفا مدرکی ارائه دهید که در آن تاریخ وضع حمل شما ذکر شده باشد."
"Ich benötige aus medizinischen Gründen eine **kostenaufwändige Ernährung**.","من به دلائل پزشکی احتیاج به **رژیم غذائی ویژه** دارم که برای آن هزینه بیشتری باید پرداخت کنم."
"Bitte füllen Sie die **Anlage MEB** aus.","لطفا در این مورد ضمیمه **Anlage MEB** را پرکنید."
"Ich habe eine **Behinderung und** erhalte","من دچار **معلولیت هستم** و طبق در یافت می دارم"
"- Leistungen zur Teilhabe am Arbeitsleben nach § 49 Neuntes Buch Sozialgesetzbuch (SGB IX) **oder**","- من از کمک های مربوط به حق شرکت در کار طبق ماده قانون 49§ براساس کتاب پنجم قوانین اجتماعی (SGB IX) و یا"
"- sonstige Hilfen zur Erlangung eines geeigneten Arbeitsplatzes **oder**","- یا کمک های دیگر برای دست یافتن به محل کار مناسب **یا**"
"Bitte legen Sie einen aktuellen Bescheid vor.","لطفا مدرک مربوطه را ارائه دهید."
"Ich bin **nicht erwerbsfähig** und Inhaberin/Inhaber eines Ausweises nach § 152 Abs. 5 SGB IX mit dem **Merkzeichen G oder aG**.","من ** شاغل نیستم** و دارنده کارت معلولیت طبق ماده §152 Abs. 5 SGB IX با **مشخصه G یا aG** هستم.              "
"(zum Beispiel Kosten zur Wahrnehmung des Umgangsrechts bei getrennt lebenden Eltern).","(به طور مثال هزینه های دیدار از فرزند در مورد پدر و مادرانی که جدا از هم زندگی می کنند)."
"Bitte füllen Sie die **Anlage BB** aus.","لطفا ضمیمه **Anlage BB** را پر کنید."
"von - bis","از تاریخ تا"
"Arbeitgeber","صاحب کار"
"war ich **selbständig** tätig.","**شغل آزاد** داشتم"
"Art der Tätigkeit","نوع شغل"
"habe ich **Angehörige gepflegt** (Pflege nach dem Elften Buch Sozialgesetzbuch).","من **سرپرستی بستگانم** را (طبق کتاب 11 قوانین حقوق اجتماعی) به عهده داشتم."
"Leistung","چه نوع کمکی"
"Ansprüche gegenüber Dritten","طلب از شخص ثالث"
"Leistungsart","نوع کمک"
"Antragsdatum","تاریخ درخواست"
"Sozialleistungsträger/Familienkasse","از مراکز ارائه کمک های اجتماعی / صندوق خانواده"
"Ich erhebe Ansprüche gegen einen (ehemaligen) Arbeitgeber auf noch ausstehende Lohn- oder Gehaltszahlungen (zum Beispiel bei Zahlungsunfähigkeit/Insolvenz des Arbeitgebers) oder für Zeiten nach dem Ausscheiden (zum Beispiel bei noch ausstehenden Abfindungen).","دعوی طلب مزد و حقوق عقب افتاده از صاحب کار (گذشته ام) را دارم( مثلا در شرایط عدم توانائی پرداخت و یا ورشکستگی صاحب کار) و یا (مثلا پرداخت عقب افتاده وجه جبرانی) برای زمان های پس از اتمام کار."
"Anschrift","آدرس"
"Grund","دلیل"
"Bitte füllen Sie die **Anlage UH1** aus.","لطفا ضمیمه **Anlage UH1** را پر کنید."
"Ich bin","من هستم"
"- unter 18 Jahre alt oder","- زیر 18 سال است و یا"
"- zwischen 18 und 24 Jahre alt und mache eine Schul- oder Berufsausbildung oder will eine solche in Kürze beginnen.","بین سن 18 و 24 هست/هستم و در مدرسه و یا یک دوره شغلی آموزش می بینم/ می بیند و یا می خواهم /می خواهد بزودی این دوره را شروع کنم/ کند."
"Bitte füllen Sie die **Anlage UH4** aus.","لطفا ضمیمه **Anlage UH4 **را پر کنید."
"Bitte füllen Sie die **Anlage UF** aus.","لطفا ضمیمه **Anlage UF** را پرکنید."
"Ich habe einen Anspruch gegenüber Dritten (zum Beispiel aus vertraglichen Zahlungsansprüchen oder Schadensersatzforderungen).","از شخص ثالثی طلبکارم (مثلا طلب های قراردادی، یا طلب بخاطر پرداخت خسارت واردشده)."
"Bezeichnung des Anspruchs","نوع طلب"
"Bitte weisen Sie den Anspruch durch aktuelle Unterlagen nach.","لطفا این طلب را از طریق مدارک مربوطه ثابت کنید."
"Bitte legen Sie die Verpflichtungserklärung oder geeignete Unterlagen vor.","لطفا برای این قسمت مدرک مناسب ارائه دهید (مثلا کپی دعوتنامه)."
"Kranken- und Pflegeversicherung","بیمه درمانی و یا بیمه سرپرستی"
"Pflichtversicherung in der gesetzlichen Kranken- und Pflegeversicherung","بیمه درمانی اجباری در یک شرکت بیمه درمانی وبیمه سرپرستی"
"Ich bin order war zuletzt in der **gesetzlichen Kranken- und Pflegeversicherung** pflicht- oder familienversichert.","من شامل دریافت بیمه خدمات درمانی ومراقبت قانونی (غیرخصوصی) از نوع بیمه اجباری و یا بیمه خانواده بوده و یا هستم."
"Name der Krankenkasse","نام شرکت بیمه درمانی"
"Krankenversichertennummer","شماره بیمه درمانی"
"(falls bekannt)","(اگر میدانید)"
"Private, freiwillig gesetzliche oder fehlende Kranken- und Pflegeversicherung","بیمه خصوصی ، داوطلبانه و یا عدم بیمه درمانی و بیمه سرپرستی"
"Ich bin **privat** oder **freiwillig gesetzlich** versichert.","من **بیمه خصوصی** یا **اجباری داوطلبانه** دارم."
"Bitte füllen Sie die **Anlage SV**, Abschnitt 3 aus.","لطفا قسمت 3 ضمیمه **Anlage SV** را پرکنید."
"Ich bin **nicht** versichert.","من بیمه **نیستم**."
"Bitte füllen Sie die **Anlage SV**, Abschnitt 4 aus.","لطفا قسمت 4 ضمیمه **Anlage SV** را پرکنید."
"Bildung und Teilhabe","آموزش و حق شرکت در زندگی اجتماعی"
"Meine Bankverbindung","شماره حساب بانکی من"
"Leistungen nach dem SGB II werden in der Regel auf ein Konto überwiesen.","کمک های معیشتی طبق کتاب دوم قوانین اجتماعی DGB II معمولا به حساب بانکی واریز می شوند."
"Kontoinhaberin/Kontoinhaber","نام دارنده شماره حساب"
"IBAN","IBAN"
"Die IBAN finden Sie in der Regel auf Ihrem Kontoauszug.","IBAN اصولا در ورقه های رسید بانکی اتان موجود است."
"**Bei Verstoß** gegen diese Mitwirkungspflichten werden in aller Regel von allen leistungsberechtigten Personen einer Bedarfsgemeinschaft **zu viel gezahlte Leistungen zurückgefordert**. Sofern zu Ihrer Bedarfsgemeinschaft noch weitere Personen gehören, sollten Sie als Vertreterin/Vertreter beim Ausfüllen des Antrags alle Mitglieder einbeziehen und die wesentlichen sowie die sie betreffenden Angaben mit ihnen abstimmen. Stellen Sie zudem bitte sicher, dass alle Mitglieder alle notwendigen Informationen (zum Beispiel Bescheide) erhalten.","در صورت نقض وظیفه همکاری در هر صورتی، از همه افراد تحت پوشش شما که کمک دریافت می دارند ،مبلغی پرداختی اضافه، پس گرفته خواهد شد. اگر افراد تحت پوشش شما باشند، شما بعنوان کسی که آنها را نمایندگی می کنید موظف هستید که در هنگام پرکردن درخواست ،همه افراد را دخالت داده و همه اطلاعات کلی ومربوطه را با آنان مطابقت دهید. لطفا اطلاع حاصل کنید که همه اعضا همه اطلاعات لازم را (مثل جواب) دریافت دارند."
"Ein Verstoß kann zusätzlich zu einem **Ordnungswidrigkeiten- oder Strafverfahren** gegen die Person führen, die die oben genannten Pflichten missachtet hat. Das Jobcenter holt im Wege eines automatisierten Datenabgleichs bei verschiedenen Stellen Auskünfte über Einkommen und Vermögen ein (zum Beispiel Arbeitsentgelte, Kapitalerträge, Renten). Verschwiegene Einkommen und Vermögen werden daher regelmäßig nachträglich bekannt.","چنین بی توجهی ای میتواند علاوه براین ، نقض قوانین تلقی شده و حتی در صورت نقض وظائف بالا جریمه به دنبال داشته باشد. جاب سنتر از طریق راه های مختلف بطور اتوماتیک اطلاعات مربوط به درآمدها و دارائی ها را از اداره جات مختلف دریافت و مقایسه می کند (به طور مثال حقوق در ازای کار، سرمایه، بیمه بازنشستگی). درآمد و دارائی های مسکوت گذاشته شده شما بطور منظم بعدا مشخص می شوند."
"Ich habe das Merkblatt ""SGB II – Arbeitslosengeld II/Sozialgeld (Grundsicherung für Arbeitsuchende)"" und die Ausfüllhinweise erhalten und kenne deren Inhalt. Künftige Änderungen (insbesondere der Familien-, Einkommens- und Vermögensverhältnisse sowie des Umfangs der Erwerbsfähigkeit) werde ich unaufgefordert und unverzüglich mitteilen.","ورقه توضیحی ""SGBIII در مورد حقوق بیکاری، حقوق اجتماعی (حقوق پایه ای برای جویندگان کار)"" و کمک پرکردن فرم را دریافت نموده و محتوی آنها را می شناسم. تغییرات آتی را (مخصوصا موارد مربوط به خانواده، درآمد و موارد مربوط به دارائی و توانائی انجام کار) بدون درخواست و سریعا اطلاع خواهم داد."
"Es wurde eine Betreuerin/ein Betreuer vom **Betreuungsgericht/Amtsgericht** bestellt.","از طرف **دادگاه سرپرستی و یا دادگاه منطقه** یک سرپرست تعیین شده است."
"Ort/Datum","محل / تاریخ"
"Unterschrift Betreuerin/Betreuer","امضاء سرپرست"
"Ich bestätige, dass die Angaben richtig sind.","من گواهی می دهم که همه این اطلاعات صحیح می باشند."
"Unterschrift Antragstellerin/Antragsteller","امضاء متقاضی"
"Unterschrift der/des gesetzlichen Vertreterin/Vertreters minderjähriger Antragstellerinnen/Antragsteller","امضاء سرپرست قانونی متقاضیان نابالغ"
