"Kindergeld-Nr.","Child benefit number"
"Die Eintragung der hier abgefragten Angaben ist **in jedem Fall** erforderlich. Wenn der andere Elternteil / die Eltern des Kindes verstorben sind, ist dies durch den Zusatz „verstorben“ anzugeben. Ist für ein Kind die Vaterschaft nicht rechtswirksam festgestellt worden, ist „unbekannt“ bzw. „Vaterschaft nicht festgestellt“ einzutragen.","The entry of the data requested here is mandatory **in any case**. If the other parent/the parents of the child are deceased, it has to be stated with the addendum ""deceased."". If paternity for a child hasn't been legally determined, ""unbekannt“ (""unknown"") or „Vaterschaft nicht festgestellt"" (""paternity not determined"") has to be stated."
"Zu 3: Angaben für ein volljähriges Kind","Ad 3:Information for a child of legal age"
"Besondere Anspruchsvoraussetzungen","Special eligibility criteria"
"Die Berücksichtigung eines volljährigen Kindes ist möglich, wenn es","The consideration of a child of legal age is possible if it"
"1. noch nicht das 21. Lebensjahr vollendet hat, nicht in einem Beschäftigungsverhältnis steht und bei einer Agentur für Arbeit im Inland als Arbeitsuchender gemeldet ist oder","1. hasn't reached 21 years of age, is not gainfully employed and is registered as a job-seeker at an Employment Agency in Germany, or"
"2. noch nicht das 25. Lebensjahr vollendet hat und","2. hasn't reached the age of 25 and"
"a) für einen Beruf ausgebildet wird oder","a) is in a job training or"
"b) sich in einer Übergangszeit von höchstens vier Monaten befindet oder","b) is in a transition period of no more than 4 months, or"
"c) eine Berufsausbildung mangels Ausbildungsplatzes nicht beginnen oder fortsetzen kann oder","c) can't start or continue professional training due to lack of an apprenticeship, or"
"d) einen geregelten Freiwilligendienst leistet oder","d) performs regulated voluntary service, or"
"3. wegen körperlicher, geistiger oder seelischer Behinderung außerstande ist, sich selbst zu unterhalten; Voraussetzung ist, dass die Behinderung vor Vollendung des 25. Lebensjahres eingetreten ist (ohne Altersgrenze).","3. is not able to sustain itself due to a physical, mental, or phsychological handicap: To qualify it, the handicap must have occured before the child turned 25 years of age (without age limit)."
"Nach Abschluss einer erstmaligen Berufsausbildung oder eines Erststudiums wird ein Kind in den Fällen der Nummer 2 (a bis d) nur berücksichtigt, wenn das Kind keiner (schädlichen) Erwerbstätigkeit nachgeht.","After completion of an initial apprenticeship or a first degree a child in the cases of number 2 (a to d) is only considered if the child doesn't pursue a (detrimental) employment."
"Ein Kind ist erwerbstätig, wenn es einer auf die Erzielung von Einkünften gerichteten Beschäftigung nachgeht, die den Einsatz seiner persönlichen Arbeitskraft erfordert. Hieraus folgt, dass der Begriff „Erwerbstätigkeit“ durch eine nichtselbständige Tätigkeit, eine land- und forstwirtschaftliche, eine gewerbliche und eine selbständige Tätigkeit erfüllt werden kann. Die Verwaltung eigenen Vermögens ist demgegenüber keine Erwerbstätigkeit.","A child is gainfully employed, if it pursues an occupation aimed at generating income, that requires its personal manpover. Consequently the term ""gainful employment"" can be fulfilled by a dependent activity, agricultural and forestry activities, and business and self-employed activities. In comparison, the management of one's own assets is not gainful employment."
"Bitte weisen Sie die wöchentliche Arbeitszeit anhand geeigneter Unterlagen (z.B. Arbeitsvertrag / Bescheinigung des Arbeitgebers) nach. Wurde von den vertraglich vereinbarten Arbeitszeiten abgewichen, kann ein Nachweis hierfür durch Vorlage von Gehaltsabrechnungen, einem Auszug aus dem Arbeitskonto oder einer Arbeitgeberbescheinigung erfolgen. Fehlzeiten aufgrund von Urlaub, Krankheit oder ähnliches mindern die vertraglich vereinbarte Arbeitszeit nicht.","Please proove the weekly working hours with appropriate documents (e.g. employment contract/certificate of employment from your employer). Deviations from the working hours in the contract can be prooved by submission of payslips, a statement of the work account, or an employer statement. Absence due to vacation, sickness or the like doesn't reduce the contractual agreed-upon working hours."
"Zu 5: Anspruch auf eine Geldleistung von einer Stelle außerhalb Deutschlands / von einer zwischen- oder überstaatlichen Stelle","Ad 5: Claim a payment from an authority outside Germany/ from a cross-national or supranational authority"
"Hier sind beispielsweise Ansprüche auf kindbezogene Familienleistungen, die im Ausland bestehen oder Ansprüche auf kindbezogene Leistungen von einer Beschäftigungsbehörde (z. B. der Europäischen Union) einzutragen.","Here you have to fill in, for example, claims of child-related family benefits that you get from abroad, or child-related benefits from an employment authority (e.g. the European Union)."
"Zu 6: Sind oder waren Sie oder eine andere Person, zu der das Kind in einem Kindschaftsverhältnis steht, in den letzten 5 Jahren vor der Antragstellung: (...)","Ad 6: Do/Did you or another person related to the child during the last five years prior to the application: (...)"
"„Tätigkeit im öffentlichen Dienst“ bedeutet eine Tätigkeit als Beamter/Versorgungsempfänger/(Tarif-)Beschäftigte des Bundes, eines Landes, einer Gemeinde, eines Gemeindeverbandes oder einer sonstigen Körperschaft, Anstalt oder Stiftung des öffentlichen Rechts oder als Richter, Berufssoldat oder Soldat auf Zeit.","""Tätigkeit im öffentlichen Dienst"" means an occupation as a civil servant/pension recipient /federal, state or municipal employy, employee of local authoities, or employee of another body, institution or foundation under the public law, or as a judge, professional soldier, or a regular soldier."
"Hierzu zählt auch die bei einem privaten Arbeitgeber ausgeübte Tätigkeit, soweit Angehörige des öffentlichen Dienstes hierfür beurlaubt worden sind. Nicht zum öffentlichen Dienst zählen Religionsgemeinschaften des öffentlichen Rechts (Kirchen einschl. der Ordensgemeinschaften, kirchlichen Krankenhäuser, Schulen, Kindergärten und ähnliches) sowie die Spitzen-/Mitgliedsverbände der freien Wohlfahrtspflege und die ihnen angeschlossenen Einrichtungen.","This also includes the work for a private employer, as far as public service employees are on leave. Religious communities under the public law (churches including religious orders, church hospitals, schools, and kindergartens and the like) as well as umbrella-/member associations of statutory welfare and bodies associated with them, are not considered as a part of public service."
"Die Fragen 6b bzw. 6c sind auch dann mit „ja“ zu beantworten, wenn Sie, Ihr Ehegatte bzw. Lebenspartner oder eine andere Person, zu der eines der Kinder in einem Kindschaftsverhältnis steht, im diplomatischen oder konsularischen Dienst tätig sind oder waren.","You must answer questions 6b and 6c with 'yes' if you, your spouse or life partner or another person related to one the children, work or worked for diplomatic or consular services."
"Ausführliche Informationen zum Kindergeld finden Sie im Internet unter www.bzst.de bzw. unter www.familienkasse.de.","You can find detailed information about child benefit on the internet at www.bzst.de bzw. and www.familienkasse.de."
