"Kindergeld-Nr.","N° d'allocataire"
"IBAN","IBAN"
"BIC","BIC"
"Bank, Finanzinstitut (ggf. auch Zweigstelle)","Banque, institution (et agence)"
"Kontoinhaber(in) ist","Le titulaire du compte"
"antragstellende Person wie unter 1","est le demandeur, comme renseigné en 1"
"nicht antragstellende Person, sondern:","n'est pas le demandeur, mais :"
"Name, Vorname","Nom, prénom"
"Der Bescheid soll nicht mir, sondern folgender Person (z.B. Steuerberater, Rechtsanwalt, etc.) zugesandt werden:","L’avis ne doit pas m’être envoyé, mais à la personne suivante (par ex. conseiller fiscal, avocat, etc.):"
"Angaben zu Kindern","Données concernants les enfants"
"Für jedes Kind, für das Kindergeld beantragt wird, ist eine gesonderte „Anlage Kind“ ausgefüllt einzureichen.","Pour chaque enfant faisant l’objet d’une demande d’allocations familiales, il faut fournir, remplie, une „annexe enfant“ séparée."
"Für folgende Kinder beziehe ich bereits Kindergeld","Je recois déjà une allocation pour les enfants suivants:"
"(auch in Fällen der abweichenden Kontoverbindung, Abzweigung und Erstattung):","(également en cas de coordonnées bancaires divergentes, dérivation et remboursement) :"
"Vorname des Kindes ggf. abweichender Familienname","Prénom de l'enfant et éventuellement ancien nom de famille s'il a changé"
"Bei welcher Familienkasse (Kindergeldnummer, Personalnummer)?","A quelle caisse d'allocation familiale (numéro de dossier, matricule) ?"
"Folgende Zählkinder sollen berücksichtigt werden:","Les enfants suivants doivent être pris en compte:"
"Wer bezieht das Kindergeld (Name, Vorname)?","Qui est concerné par l'allocation familiale (nom,prénom) ?"
"Ich versichere, dass alle Angaben (auch in den Anlagen) vollständig sind und der Wahrheit entsprechen. Mir ist bekannt, dass ich alle Änderungen, die für den Anspruch auf Kindergeld von Bedeutung sind, unverzüglich der Familienkasse mitzuteilen habe. Den Inhalt des Merkblattes Kindergeld (zu finden unter www.bzst.de oder www.familienkasse.de) habe ich zur Kenntnis genommen.","Je certifie que toutes les données (annexes incluses) sont complètes et authentiques. Je sais que je dois communiquer à la caisse d’allocations familiales (Familienkasse), immédiatement, toutes les modifications qui sont importantes pour le droit aux allocations familiales. J’ai pris connaissance de la fiche informative sur les allocations familiales (disponible à www.familienkasse.de)."
"Hinweis zum Datenschutz:","Information sur la protection des données :"
"Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches verarbeitet.","les données seront relevées, travai llées et utilisées au regard des paragraphes 31, 62 à 78 de la loi relative à l'impôt sur le revenu et de la reglementation du code fiscal et au regard de la loi relative aux all ocations familiales."
"Nähere Informationen zu Ihren Rechten im Rahmen der Erhebung von personenbezogenen Daten nach Artikel 13 und 14 der Datenschutz-Grundverordnung erhalten Sie im Internet auf der Seite Ihrer Familienkasse (zu finden unter www.familienkasse.de), auf der auch die Kontaktdaten des Datenschutzbeauftragten bereitgestellt sind.","De plus amples informations sur vos droits dans le cadre de la collecte de données personnelles en vertu des articles 13 et 14 de la réglementation générale sur la protection des données peuvent être obtenues sur Internet sur la page de votre Caisse d’allocations familiale (disponible à www.familienkasse.de). Vous trouverez également ici les coordonnées du responsable de la protection des données."
"Datum","Date"
"Unterschrift der antragstellenden Person bzw. der gesetzlichen Vertretung","Signature du demandeur ou du représentant(e) légal"
"Ich bin damit einverstanden, dass das Kindergeld zugunsten der antragstellenden Person festgesetzt bzw. bewilligt wird.","Je suis d’accord que l’on verse les allocations familiales au demandeur/à la demanderesse."
"Unterschrift der unter Punkt 2 genannten Person bzw. der gesetzlichen Vertretung","Signature de la personne mentionnée au point 2 ou de son représentant légal"
"Alle Eingaben löschen","Effacer toutes les informations"
"Drucken","Imprimer"
"Speichern","enregistrer"
"Hinweise zum Antrag auf Kindergeld und zur Anlage Kind","Indications concernant la demande d'allocation et les annexes enfants"
"Füllen Sie bitte den Antragsvordruck und die Anlage Kind sorgfältig und gut leserlich aus und kreuzen Sie das Zutreffende an. Vergessen Sie Ihre *Unterschrift* nicht! Sofern Sie minderjährig sind, muss Ihr gesetzlicher Vertreter für Sie unterschreiben.","Veuillez remplir soigneusement et de manière bien lisible le formulaire de demande et l’annexe enfant et cochez les cases exactes. N’oubliez pas *votre signature*! Si vous êtes mineur, votre représentant légal doit signer pour vous."
"Lassen Sie den Antrag *auch* von dem mit Ihnen gemeinsam in einem Haushalt lebenden Ehegatten bzw. Lebenspartner/anderen Elternteil unterschreiben, wenn er damit einverstanden ist, dass Sie das Kindergeld erhalten. Wenn kein Einvernehmen besteht, teilen Sie dies bitte der Familienkasse mit. Wurde der Berechtigte gerichtlich bestimmt, fügen Sie bitte den Beschluss bei.","Faites *aussi* signer la demande par le conjoint ou partenaire vivant conjointement avec vous dans un ménage / autre parent s’il est d’accord que vous perceviez les allocations familiales. S’il n’y a pas d’accord, veuillez-le communiquer à la caisse d’allocations familiales (Familienkasse). Si l’ayant droit a été fixé par la justice, veuillez joindre la décision."
"Bitte beachten Sie, dass Ihr Antrag nur bearbeitet werden kann, wenn er *vollständig ausgefüllt* wurde. Soweit für die Ermittlung des Kindergeldsachverhalts Nachweise einzureichen sind, können die nicht benötigten Angaben (z. B. die Schulnoten auf einem Abschlusszeugnis) unkenntlich gemacht werden.","Sachez que votre demande ne peut être traitée que si elle a été *entièrement remplie*. Concernant les documents à produire pour l’investigation relative à l’octroi des allocations familiales, certains éléments des documents facultatifs (p. ex. notes scolaires sur un bulletin) peuvent être masqués."
"Seit dem 01.01.2016 ist Voraussetzung für den Anspruch auf Kindergeld, dass die anspruchsberechtigte Person und das Kind durch die an sie vergebenen steuerlichen Identifikationsnummern (§ 139b der Abgabenordnung) identifiziert werden. Seit 2008 wird jeder Person, die mit Hauptwohnung oder alleiniger Wohnung in einem Melderegister in Deutschland erfasst ist, eine steuerliche Identifikationsnummer zugeteilt. Personen, die nicht melderechtlich erfasst, aber in Deutschland steuerpflichtig sind, erhalten ebenfalls eine steuerliche Identifikationsnummer.","Depuis le 01/01/2016, la condition pour le droit aux allocations familiales est que l’ayant droit et l’enfant soient identifiés par les numéros d’identification fiscale qui leur ont été attribués (art.139b du code fiscal allemand). Depuis 2008, toute personne qui est saisie dans le registre de la population en Allemagne avec une résidence principale ou une résidence exclusive se voit attribuer un numéro d’identification fiscale. Les personnes non saisies selon le droit relatif à l'enregistrement, mais soumises à l'imposition en Allemagne, reçoivent également un numéro d'identification fiscale."
"Ihre steuerliche Identifikationsnummer und die Ihres Kindes finden Sie im jeweiligen Mitteilungsschreiben des Bundeszentralamtes für Steuern. Ihre Nummer ist auch auf der elektronischen Lohnsteuerbescheinigung Ihres Arbeitgebers oder in Ihrem Einkommensteuerbescheid verzeichnet. Sollten Sie Ihre steuerliche Identifikationsnummer in den genannten Unterlagen nicht finden, können Sie mit dem Eingabeformular im Internetportal des Bundeszentralamtes für Steuern **www.bzst.de** um erneute Zusendung bitten. Die Mitteilung der steuerlichen Identifikationsnummer durch das Bundeszentralamt für Steuern erfolgt schriftlich. Aus datenschutzrechtlichen Gründen kann sie weder telefonisch noch per E-Mail übermittelt werden.","Vous trouverez votre numéro d'identification fiscale et celui de votre enfant dans le courrier d'information de l'Office central fédéral des impôts (Bundeszentralamt für Steuern). Votre numéro figure également sur l'attestation électronique de versement d'impôts sur le revenu de votre employeur ou sur votre avis d'impôts sur le revenu. Au cas où vous ne trouveriez pas votre numéro d'identification fiscale dans les documents mentionnés, vous avez la possibilité de demander un nouvel envoi à l'aide du formulaire d'entrée du portail Internet de l'Office central fédéral des impôts **www.bzst.de**. La communication du numéro d'identification fiscale est effectuée par écrit de la part de l'Office central fédéral des impôts. Pour des raisons de droit relatif à la protection des données, ce numéro ne peut être communiqué ni par téléphone ni par e-mail."
"Wenn Sie aus dem Ausland nach Deutschland umziehen, erhalten Sie automatisch vom Bundeszentralamt für Steuern Ihre steuerliche Identifikationsnummer per Post, wenn Sie sich beim Einwohnermeldeamt gemeldet haben. Die steuerliche Identifikationsnummer Ihres Kindes wird unmittelbar nach der Geburt an dessen Meldeadresse versandt. Für Kinder, die sich mittlerweile im Ausland aufhalten, die aber im Inland bereits eine steuerliche Identifikationsnummer erhalten haben, geben Sie bitte die im Inland erhaltene steuerliche Identifikationsnummer an. Wird für das Kind in Deutschland keine steuerliche Identifikationsnummer vergeben, weil es z. B. im Ausland lebt, dann ist das Kind auf andere geeignete Weise mit Hilfe der in den jeweiligen Ländern gebräuchlichen Personenidentifikationsmerkmale und Dokumente zu identifizieren. Welche Nachweise genau benötigt werden, erfahren Sie von Ihrer Familienkasse.","Si vous déménagez de l’étranger en Allemagne, vous recevez automatiquement de l’Office central fédéral des impôts votre numéro d’identification fiscale par la poste si vous vous êtes inscrits auprès du bureau de déclaration de résidence. Le numéro d’identification fiscale de votre enfant est envoyé immédiatement après la naissance à son adresse d’enregistrement. Pour les enfants qui séjournent entre-temps à l’étranger, mais qui ont reçu déjà un numéro d’identification fiscale en Allemagne, veuillez indiquer le numéro d’identification fiscale reçu en Allemagne. Si aucun numéro d'identification fiscale n'est attribué en Allemagne pour l'enfant, par exemple parce qu'il vit à l'étranger, l'enfant est à identifier d'une autre manière appropriée à l'aide des caractéristiques d'identification personnelle et des documents en usage dans les pays respectifs. Votre caisse d'allocations familiales vous communiquera la liste des justificatifs que vous nécessitez."
"Weitere Fragen zur steuerlichen Identifikationsnummer als Anspruchsvoraussetzungen werden unter **www.bzst.de** beantwortet.","Vous trouverez les réponses à d'autres questions relatives au numéro d'identification fiscale comme conditions de droit sous **www.bzst.de**."
"Auszahlungsbeschränkung","Limitation des versements"
"Festgesetztes Kindergeld wird rückwirkend nur für die letzten sechs Monate vor Beginn des Monats gezahlt, in dem der Antrag auf Kindergeld eingegangen ist (§ 20 Abs. 1 Sätze 2 und 3 EStG).","Les allocations familiales établies ne sont versées rétroactivement que pour les six derniers mois précédant le début du mois au cours duquel la demande d’allocations familiales est parvenue à la Caisse d’allocations familiales (art. 70 par. 1 lettres 2 et 3 de la loi relative à l’impôt sur le revenu, EStG)."
"Zu 1 und 2: Angaben zur antragstellenden Person und zum/zur Ehepartner(in) bzw. eingetragenen Lebenspartner(in) oder zum anderen leiblichen Elternteil bzw. Stiefelternteil im gemeinsamen Haushalt","Concernant 1 et 2: Informations concernant la personne requérante et le/la conjoint(e) ou partenaire civil ou concernant l’autre parent biologique ou beau-parent dans le ménage commun"
"Wenn beide Elternteile eines Kindes die Voraussetzungen für den Anspruch auf Kindergeld erfüllen, ist als antragstellende Person der Elternteil einzutragen, der nach dem Willen beider Elternteile das Kindergeld erhalten soll. Beim Familienstand ist nur dann „dauernd getrennt lebend“ anzukreuzen, wenn bei Ehepaaren mindestens ein Ehepartner die Absicht hat, die Trennung ständig aufrechtzuerhalten (dies gilt auch für eingetragene Lebenspartnerschaften).","Si les deux parents d’un enfant remplissent les conditions pour le droit aux allocations familiales, il faut inscrire comme personne qui fait la demande le parent qui, selon la volonté des deux parents, doit percevoir les allocations familiales. Pour la situation de famille, il ne faut cocher la case «vivant durablement séparé/e» que si, pour les conjoints, au moins un conjoint envisage de maintenir durablement la séparation (cela vaut également pour les partenariats civils)."
"Bitte machen Sie Angaben zum anderen leiblichen Elternteil in der Anlage Kind, sofern der andere leibliche Elternteil nicht im gemeinsamen Haushalt der antragstellenden Person lebt.","Veuillez fournir des informations concernant l’autre parent biologique dans l’«annexe enfant» si celui-ci ne vit pas dans le ménage commun de la personne requérante."
"Staatsangehörigkeit der antragstellenden Person:","Nationalité de la personne requérante:"
"wenn **deutsche** Staatsangehörigkeit oder Staatsangehörigkeit eines **EU-/EWR-Staates bzw. der Schweiz** *und* wenn z. B. wenn mindestens ein Elternteil bzw. ein Kind im Ausland wohnt bzw. erwerbstätig ist oder ausländische Leistungen bezogen werden oder wenn ein Elternteil Mitglied der in Deutschland stationierten NATO-Streitkräfte ist, bitte „Anlage Ausland“ ausfüllen","Si nationalité **allemande** ou **d’un État de l’UE/EEE ou de la Suisse** *et* lorsqu’il y a par ex. au moins un parent ou un enfant vivant ou actif à l’étranger ou percevant des prestations étrangères ou lorsqu’un parent est membre des forces de l’OTAN stationnées en Allemagne, veuillez remplir «Dispositif étranger»"
"wenn **nicht deutsche Staatsangehörigkeit**, aber Staatsangehörigkeit eines **EU-/EWR-Staates**, bitte die „Anlage EU“ ausfüllen und zusammen mit Ihrem Antrag einreichen; es sei denn, „Anlage Ausland“ ist aufgrund Punkt 1 beizufügen","Si **nationalité non allemande**, mais **d’un État de l’UE/EEE**, veuillez remplir l’«annexe UE» et le joindre à votre demande; à moins que l’«annexe étranger» ne soit à joindre en raison du point 1"
"wenn **andere** als die deutsche Staatsangehörigkeit oder die eines EU-/EWR-Staates bzw. der Schweiz, bitte **Aufenthaltstitel** beifügen","Si nationalité **autre** que la nationalité allemande ou d’un État de l’UE/EEE ou de la Suisse, veuillez joindre le **titre de séjour**"
"Zu 4: Der Bescheid soll nicht mir, sondern folgender Person zugesandt werden","Concernant 4: L’avis ne doit pas m’être envoyé, mais à la personne suivante"
"Hier können Sie eine(n) Empfangsbevollmächtigte(n) (z. B. Steuerberater(in), Lohnsteuerhilfeverein etc.) angeben, welche(r) den Bescheid über Kindergeld erhalten soll.","Vous pouvez indiquer ici une personne (par ex. expert comptable, association d’aide au contribuable) autorisée à recevoir l’avis concernant les allocations familiales."
"Zu 6: Folgende Zählkinder sollen berücksichtigt werden","Concernant 6: Les enfants recensés suivants doivent être pris en compte"
"Kinder, für die eine andere Person Kindergeld erhält, können sich bei Ihnen kindergelderhöhend auswirken (Zählkinder). Sofern Sie die Berücksichtigung von Zählkindern geltend machen wollen, geben Sie bitte in jedem Fall an, wer für die Zählkinder das Kindergeld bei welcher Familienkasse bezieht.","Les enfants pour lesquels une autre personne perçoit des allocations familiales peuvent avoir une influence positive sur le montant de vos allocations familiales (enfants recensés). Si vous désirez faire valoir la prise en compte d’enfants recensés, veuillez indiquer en tout cas la personne qui perçoit, pour les enfants recensés, les allocations familiales auprès de quelle caisse d’allocations familiales (Familienkasse)."
"Anlage Kind","Annexe enfant"
"Allgemeines","Généralités"
"Bitte füllen Sie die „Anlage Kind“ vollständig aus. Beim Antrag aufgrund der Geburt eines in Deutschland geborenen Kindes ist die Geburtsbescheinigung für Kindergeld oder die Geburtsurkunde nur auf Anfrage der Familienkasse vorzulegen. Bei einem im Ausland geborenen Kind ist durch amtliche Dokumente (z. B. ausländische Geburtsurkunde) das Kindschaftsverhältnis nachzuweisen.","Veuillez remplir entièrement l’«annexe enfant». Lors d’une demande d’allocations familiales effectuée pour un enfant né en Allemagne, l’attestation ou certificat de naissance est à présenter uniquement à la demande de la caisse d’allocations familiales. Si l’enfant est né à l‘étranger, la filiation doit être étayée par des documents (p. ex. certificat de naissance étranger)."
"Für über 18 Jahre alte Kinder ist die Anlage nur auszufüllen, wenn sie eine der im Merkblatt Kindergeld genannten besonderen Voraussetzungen erfüllen. Entsprechende Nachweise (z. B. über die Schul- oder Berufsausbildung) sind beizufügen. Bei angenommenen (adoptierten) Kindern bitte den Annahmebeschluss des Familiengerichts beifügen.","Pour les enfants âgés de plus de 18 ans, il ne faut remplir l’annexe que s’ils remplissent les conditions particulières nommées dans la fiche relative aux allocations familiales. Il faut joindre les justificatifs correspondants (par ex. sur la formation scolaire ou professionnelle). Pour des enfants adoptés, veuillez joindre la décision d’adoption du tribunal familial."
"„Andere Personen“, zu denen ein Kindschaftsverhältnis besteht, sind: Eltern, Stiefeltern, Adoptiveltern, Pflegeeltern, Großeltern.","Les „Autres personnes“ avec lesquelles il existe un rapport de filiation sont : parents, beaux-parents, parents adoptifs, parents nourriciers, grands-parents."
"Zu 1: Angaben zum Kind","Données pour un enfant"
"Wenn Kinder außerhalb Ihres Haushalts leben, geben Sie den Grund an (z. B. Unterbringung bei Großeltern, in einer Pflegestelle/einem Heim, wegen Schul- oder Berufsausbildung).","Si les enfants vivent en dehors de votre ménage, indiquez la raison (par ex. hébergement chez les grands-parents / dans une famille d’accueil / dans un foyer, en raison de la formation scolaire ou professionnelle)."
"Zu 2: Kindschaftsverhältnis zur antragstellenden Person, zum/zur Ehepartner(in) bzw. eingetragene Lebenspartner(in) und zu anderen Personen","Concernant 2: Rapport de filiation avec la personne qui fait la demande, avec le/la conjoint/e ou partenaire et avec d’autres personnes"
"Die Eintragung der hier abgefragten Angaben ist **in jedem Fall** erforderlich. Wenn der andere Elternteil / die Eltern des Kindes verstorben sind, ist dies durch den Zusatz „verstorben“ anzugeben. Ist für ein Kind die Vaterschaft nicht rechtswirksam festgestellt worden, ist „unbekannt“ bzw. „Vaterschaft nicht festgestellt“ einzutragen.","L’inscription des informations demandées ici est **en tout cas** nécessaire. Si l’autre parent / les parents de l’enfant sont décédés, il faut l’indiquer avec la mention supplémentaire « décédé ». Si la paternité pour un enfant n’a pas été juridiquement constatée, il faut inscrire « inconnu » ou « paternité non constatée »."
"Zu 3: Angaben für ein volljähriges Kind","Données pour un enfant majeur"
"Besondere Anspruchsvoraussetzungen","Conditions d'octroi particulières"
"Nach § 32 Abs. 4 Satz 1 EStG ist die Berücksichtigung eines volljährigen Kindes möglich, wenn es","En vertu de l'article 32, paragraphe 4, phrase 1, de l'EStG (Loi allemande sur l'impôt sur le revenu), il est possible de prendre en compte un enfant majeur s'il est :"
"1. noch nicht das 21. Lebensjahr vollendet hat, nicht in einem Beschäftigungsverhältnis steht und bei einer Agentur für Arbeit im Inland als Arbeitsuchender gemeldet ist oder","1. n'a pas encore terminé sa 21ème année, n'est pas sous contrat de travail et est inscrit au pôle emploi dans le pays en tant que demandeur d'emploi ou"
"2. noch nicht das 25. Lebensjahr vollendet hat und","2. n'a pas terminé sa 25ème année et"
"a) für einen Beruf ausgebildet wird oder","a) est formé à une profession ou"
"b) sich in einer Übergangszeit von höchstens vier Monaten befindet oder","b) se trouve dans une période transitoire de 4 mois maximum ou"
"c) eine Berufsausbildung mangels Ausbildungsplatzes nicht beginnen oder fortsetzen kann oder","c) ne peut pas commencer ou continuer de formation professionnelle par manque de place de formation"
"d) einen geregelten Freiwilligendienst leistet oder","d) effectue un volontariat"
"3. wegen körperlicher, geistiger oder seelischer Behinderung außerstande ist, sich selbst zu unterhalten; Voraussetzung ist, dass die Behinderung vor Vollendung des 25. Lebensjahres eingetreten ist (ohne Altersgrenze).","3. est atteint de handicap moteur, mental ou psychique, et doit s'occuper de lui seul; la condition indispensable est que le début du handicap doit dater d'avant la fin de la 25ème année (sans limite d'âge)"
"Zu 5: Tätigkeit im öffentlichen Dienst","Concernant 5: Activité dans le service public"
"„Tätigkeit im öffentlichen Dienst“ bedeutet eine Tätigkeit als Beamter / Versorgungsempfänger / Beschäftigte des Bundes, eines Landes, einer Gemeinde, eines Gemeindeverbandes oder einer sonstigen Körperschaft, Anstalt oder Stiftung des öffentlichen Rechts oder als Richter, Berufssoldat oder Soldat auf Zeit.",""" Profession du service public"" signifie que vous êtes fonctionnaire, employé de l'état, d'une commune, d'une communauté de communes ou d'une collectivité publique, d'un office ou d'une fondation de droit public ou juge ou soldat."
"Hierzu zählt auch die bei einem privaten Arbeitgeber ausgeübte Tätigkeit, soweit Angehörige des öffentlichen Dienstes hierfür beurlaubt worden sind. Nicht zum öffentlichen Dienst zählen Religionsgemeinschaften des öffentlichen Rechts (Kirchen einschl. der Ordensgemeinschaften, kirchliche Krankenhäuser, Schulen, Kindergärten und ähnliches) sowie die Spitzen-/Mitgliedsverbände der freien Wohlfahrtspflege und die ihnen angeschlossenen Einrichtungen.","En fait partie aussi l’activité exercée chez un employeur privé dans la mesure où, pour cela, des membres du service public ont été congédiés. Ne font partie du service public les communautés religieuses de droit public (églises, y compris les congrégations religieuses, hôpitaux, écoles, jardins d’enfant religieux, etc.) ainsi que les associations centrales / membres de l’organisation indépendante d’aide sociale et les institutions qui lui sont rattachées."
"Zu 6: Anspruch auf eine Geldleistung von einer Stelle außerhalb Deutschlands / von einer zwischen- oder überstaatlichen Stelle","Concernant 6: Droit à une prestation en espèce d’un service situé en dehors de l’Allemagne / d’un service intergouvernemental ou supranational"
"Hier sind beispielsweise Ansprüche auf kindbezogene Familienleistungen, die im Ausland bestehen oder Ansprüche auf kindbezogene Leistungen von einer Beschäftigungsbehörde (z. B. der Europäischen Union) einzutragen.","Il faut inscrire ici par exemple les droits à des prestations familiales pour des enfants qui existent à l’étranger ou des droits à des prestations liées aux enfants de l’administration employeur (par ex. l’Union Européenne)."
"Zu 7: Sind oder waren Sie oder eine andere Person, zu der das Kind in einem Kindschaftsverhältnis steht, in den letzten 5 Jahren vor der Antragstellung: (…)","Concernant 7: Est-ce que vous, ou une autre personne qui a un rapport de filiation avec l’enfant, travaillez ou avez travaillé les 5 dernières années avant de faire la demande : (...)"
"Die Fragen 7a bzw. 7b sind auch dann mit „ja“ zu beantworten, wenn Sie, Ihr(e) Ehepartner(in) bzw. eingetragene(r) Lebenspartner(in) oder eine andere Person, zu der eines der Kinder in einem Kindschaftsverhältnis steht, im diplomatischen oder konsularischen Dienst tätig sind oder waren.","Il faut répondre aux questions 7a ou 7b par «oui» si votre conjoint(e) ou partenaire civil ou une autre personne avec laquelle l’un des enfants a un rapport de filiation est ou a été actif dans un service diplomatique ou consulaire."
"Ausführliche Informationen zum Kindergeld finden Sie im Internet unter www.bzst.de bzw. unter www.familienkasse.de.","Plus d'informations sur les allocations familiales sur le site internet www.bzst.de ou sur www.familienkasse.de."
